Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2019,2018,2017,2016,2015,2014
Edoardo Braga,Valle D'Aosta Cornalin,2.0,20-24,9,8,2,sv,sv,sv,sv,sv
La Source,Valle D'Aosta Cornalin,2.5,15-19,75,90,sv,sv,3,3,3,1
Institut Agricole Regional,Valle D'Aosta Cornalin,2.0,10-14,51,86,2,1,3,2,2,sv
Rosset Terroir,Valle D'Aosta Cornalin,3.0,20-24,100,92,3,sv,3,3,3,sv
La Vrille,Valle D'Aosta Cornalin,2.8,15-19,84,100,sv,sv,3,2,3,3
Les Granges,Valle D'Aosta Cornalin,3.0,30-34,75,48,sv,sv,3,3,3,sv
Chateau Feuillet,Valle D'Aosta Cornalin,2.0,20-24,26,24,sv,sv,2,2,2,sv
Feudo Di San Maurizio,Valle D'Aosta Cornalin,2.5,15-19,34,40,sv,sv,2,sv,3,sv
Grosejan Vins,Valle D'Aosta Cornalin Vigne Rovettaz,2.0,10-14,9,14,sv,sv,sv,2,sv,sv
