Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2022,2021,2020,2019,2018,2017,2016,2015
Rosset Terroir,Sopraquota 900,4.7,35-39,,,sv,sv,sv,5,4,5,sv,sv
La Plantze,Al Mister,3.0,25-29,,,sv,sv,3,sv,3,3,3,sv
La Cantina Di Cuneaz,Boton D'Or,3.0,10-14,,,sv,sv,sv,3,sv,sv,sv,sv
La Source,Ensemblo,2.5,15-19,,,sv,sv,sv,sv,sv,3,2,sv
La Plantze,Ferox,3.0,15-19,,,sv,sv,sv,3,4,2,sv,sv
Didier Gerbelle,Jeux De Cepages L'Atoueyo,2.7,10-14,,,3,sv,sv,3,sv,2,sv,sv
La Plantze,La Copine,3.5,10-14,,,5,sv,sv,2,sv,sv,sv,sv
Cave Gargantua,Mon Dada,3.0,20-24,,,sv,sv,sv,3,sv,sv,sv,sv
Les Petits Riens,Petit Bout De Lune,4.0,30-34,,,4,sv,sv,sv,sv,sv,4,sv
Rosset Terroir,Premisse,3.0,10-14,,,sv,sv,sv,3,3,sv,sv,sv
Cave Monaja,Pret A Boire Bianco,3.0,25-29,,,sv,sv,sv,3,sv,sv,sv,sv
La Plantze,Trii Rundin,2.6,15-19,,,sv,sv,sv,3,3,2,2,3
Mai Domi,Imago,3.0,15-19,,,sv,sv,sv,sv,3,sv,sv,sv
Edoardo Braga,Incipit Bianco,2.0,10-14,,,sv,sv,sv,sv,2,sv,sv,sv
Vintage,L'Or Du Mont,3.0,20-24,,,sv,sv,sv,sv,sv,sv,3,sv
La Plantze,Tramontana,2.7,15-19,,,sv,sv,sv,sv,3,3,2,sv
Feudo Di San Maurizio,XXII Settembre,2.0,10-14,,,sv,sv,sv,sv,2,sv,sv,sv
Cave Gargantua,Gargantua Blanc,3.0,10-14,,,sv,sv,sv,sv,sv,sv,3,sv
