Vino,Voto Medio,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Barbera Carabas,3.3,sv,sv,3,3,sv,5,sv,2,sv,sv
Cabernet Sauvignon Corbeau,5.0,sv,sv,sv,sv,5,5,sv,5,sv,sv
Chardonnay Selin Dl Amari,2.8,sv,3,2,3,3,3,sv,sv,sv,sv
Come La Pantera e I Lupi Nella Sera,2.8,sv,sv,sv,sv,2,4,3,2,sv,sv
Gutturnio Frizzante,2.0,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
Gutturnio Superiore,2.7,sv,sv,sv,sv,sv,3,2,3,sv,sv
Gutturnio Superiore L Ala del Drago,2.3,sv,sv,sv,3,3,1,sv,2,sv,sv
Le Rane,4.0,sv,sv,sv,sv,sv,4,sv,sv,4,sv
Malvasia Boccadirosa,3.8,5,3,2,5,5,3,sv,sv,sv,sv
Nevermore,4.0,sv,sv,sv,sv,sv,sv,sv,sv,sv,4
On Attend Les Invites Brut Rose,2.0,sv,sv,sv,sv,sv,sv,sv,2,sv,sv
Pas Dose,3.0,sv,sv,sv,sv,3,sv,sv,sv,sv,sv
Pinot Nero Achab,2.2,sv,sv,3,2,2,3,sv,1,sv,sv
Sauvignon I Nani e Le Ballerine,3.5,sv,4,4,3,3,sv,sv,sv,sv,sv
