Categoria-1,Ref,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,Prezzo,PunteggioMedio,PunteggioAIS,Tipologia,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGamberoRosso,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0000566,3,2009,Cesarini Sforza,Trento Brut Riserva Aquila Reale,Trento,Bianco – Riserva,DOC,Trentino,40-44,86,86,Bianco spumante metodo classico,Chardonnay 100%,12.5,8k,nd,90 mesi sui lieviti,,,na,na,na,na,na,na,Italia,2,Millesimato,Metodo Classico,Brut
,0000566,3,2010,Cesarini Sforza,Trento Brut Riserva Aquila Reale,Trento,Bianco – Riserva,DOC,Trentino,40-44,86,86,Bianco spumante metodo classico,Chardonnay 100%,12.5,8k,Tartare di salmone al pepe rosa,90 mesi sui lieviti,"Giallo paglierino vivido puntinato da minute bollicine. Il naso è conquistato da nuance  di susina, mela renetta, fiori di campo e camomilla, per poi lasciare spazio a percezioni di miele, frutta candita e cioccolato bianco; il tutto è completato da delicate sfumature di fragrante crosta di pane e pasticceria. In bocca i ritorni leggeri di miele sono accompagnati da viva freschezza che ben si alterna con sapidità e morbidezza. Finale molto persistente con un accennato tocco agrumato. ",,na,na,na,na,na,na,Italia,2,Millesimato,Metodo Classico,Brut
Vinitaly-2022,0000566,3,2011,Cesarini Sforza,Trento Brut Riserva Aquila Reale,Trento,Bianco – Riserva,DOC,Trentino,40-44,87,87,Bianco spumante metodo classico,Chardonnay 100%,12.5,8k,nd,90 mesi sui lieviti,,,na,na,na,na,na,na,Italia,2,Millesimato,Metodo Classico,Brut
,0000566-1,3★,,Cesarini Sforza,Trento Brut Riserva Aquila Reale,Trento,Bianco – Riserva,DOC,Trentino,40-44,na,na,Bianco spumante metodo classico,Chardonnay 100%,12.5,8k,Tartare di salmone al pepe rosa,90 mesi sui lieviti,,,na,na,na,na,na,na,Italia,1,Millesimato,Metodo Classico,Brut
,0000567,2,2015,Altemasi Cavit,Trentino Superiore Muller Thurgau Zeveri Bottega Vinai,Trentino,Superiore – Muller Thurgau,DOC,Trentino,10-14,84,84,Bianco fermo,Muller Thurgau 100%,12.5,nd,nd,-,,,na,na,na,na,na,na,Italia,2,,,
Vinitaly-2022,0000567,3,2018,Altemasi Cavit,Trentino Superiore Muller Thurgau Zeveri,Trentino,Superiore – Muller Thurgau,DOC,Trentino,10-14,86,86,Bianco fermo,Muller Thurgau 100%,12.5,nd,Involtini di melanzana e pesce spada,-,"Tenui riflessi verdolini innervano il manto giallo paglierino – salvia - 60 | ortica - 60 | menta - 60 | pesca - 40 | mela - 40 – Ondeggia piacevolmente tra la componente di freschezza e la ricca sapidità, regalando intensità e persistenza; finale lungo e appagante.",,na,na,na,na,na,na,Italia,2,,,
,0000567-1,2★-3★,,Altemasi Cavit,Trentino Superiore Muller Thurgau Zeveri,Trentino,Superiore – Muller Thurgau,DOC,Trentino,10-14,na,na,Bianco fermo,Muller Thurgau 100%,12.5,nd,Involtini di melanzana e pesce spada,-,,"Fino al 2015 il nome conteneva anche ""Bottega Vinai""",na,na,na,na,na,na,Italia,1,,,
,0000568,2,2011,Kettmeir,Alto Adige Spumante Extra Brut Riserva 1919,Alto-Adige,Spumante Riserva,DOC,Trentino,30-24,84,84,Bianco spumante metodo classico,Chardonnay 60% – Pinot nero 40%,13,5k,Tonno in crosta di sesamo,6 mesi in botte + 60 mesi sui lieviti in bottiglia,"Giallo oro con fini catenelle di bollicine.  Olfatto sontuoso, che sprigiona profumi di mela cotogna, susina goccia d'oro, melone e mango, contornati da richiami di pane tostato e nocciole. Altrettanto lussureggiante al palato, integra calore alcolico e spalla fresco-sapida. Coerente la persistenza garbatamente amarognola. ",,na,na,na,na,na,na,Italia,2,Millesimato,Metodo Classico,Extra Brut
,0000568,5,2013,Kettmeir,Alto Adige Spumante Extra Brut Riserva 1919,Alto-Adige,Spumante Riserva,DOC,Trentino,40-44,94,94,Bianco spumante metodo classico,Chardonnay 68% – Pinot nero 32%,13,4k,Bucatini con scampi e pesto,6 mesi in botte + 60 mesi sui lieviti in bottiglia,"Scintillante paglierino solcato da finissime catenelle di bollicine. Il naso è inebriato da raffinati sentori di mela al forno e melone, allietati da lievi sbuffi tostati ed evanescenti ricordi mentolati. Bocca sontuosa, ammaliante e garbatamente calda, dalla freschezza longilinea, tesa e agrumata, a braccetto con la sapidità. Lunga persistenza ammandorlata, che invita al sorso successivo.",,na,na,na,na,na,na,Italia,2,Millesimato,Metodo Classico,Extra Brut
,0000568,2,2014,Kettmeir,Alto Adige Spumante Extra Brut Riserva 1919,Alto-Adige,Spumante Riserva,DOC,Trentino,35-39,84,84,Bianco spumante metodo classico,Chardonnay 60% – Pinot nero 40%,13,4k,nd,6 mesi in botte + 60 mesi sui lieviti in bottiglia,,,na,na,na,na,na,na,Italia,2,Millesimato,Metodo Classico,Extra Brut
Vinitaly-2022,0000568,5,2015,Kettmeir,Alto Adige Spumante Extra Brut Riserva 1919,Alto-Adige,Spumante Riserva,DOC,Trentino,45-49,94,94,Bianco spumante metodo classico,Chardonnay 70% – Pinot nero 30%,13,4k,Petto d'anatra con verza e miele,6 mesi in botte + 60 mesi sui lieviti in bottiglia,"Bollicine finissime illuminano un giallo paglierino – pesca bianca - 80 | erbe aromatiche - 80 | lievito - 60 | fiori d’arancio - 60 – Sorso cremoso, di gran carattere, al quale la freschezza dona grinta. Ricordi di caramello e biscotti al burro accompagnano a lungo.",,na,na,na,na,na,na,Italia,2,Millesimato,Metodo Classico,Extra Brut
,0000568-1,2★-5★,,Kettmeir,Alto Adige Spumante Extra Brut Riserva 1919,Alto-Adige,Spumante Riserva,DOC,Trentino,45-49,na,na,Bianco spumante metodo classico,Chardonnay – Pinot nero,13,4k-5k,Tonno in crosta di sesamo – Bucatini con scampi e pesto – Petto d'anatra con verza e miele,6 mesi in botte + 60 mesi sui lieviti in bottiglia,,,na,na,na,na,na,na,Italia,1,,,
,0000582,4,2002,Pisoni,Trentino Vino Santo,Trentino,Vino Santo,DOC,Trentino,35-39,90,90,Bianco passito,Nosiola 100%,13,3k,Crostata di cioccolato e scorzette di arancia,Appassimento naturale sui graticci - 60 mesi in acciaio + 60 mesi in botti di acaia + 12 mesi in bottiglia,"Riflessi ambrati solcano il calice, che ha il  colore dell'oro antico. Immediata all'olfatto    la percezione di sensazioni evolute, con nota  di smalto in sottofondo. A seguire composta    di mele, uvetta di Corinto, fichi secchi, pesca  sciroppata, albicocche candite e vaniglia  L'ingresso in bocca è fresco e snello, ben presto  la morbidezza ha il sopravvento e il sorso si    fa avvolgente, preludio all'armonia gustativa  finale, quando l'acidità mitiga la prorompente  nota di miele. ",,na,na,na,na,na,na,Italia,2,,,
,0000582,4,2003,Pisoni,Trentino Vino Santo,Trentino,Vino Santo,DOC,Trentino,30-34,90,90,Bianco passito,Nosiola 100%,13,4k,nd,Appassimento naturale sui graticci - 60 mesi in acciaio + 60 mesi in botti di acaia + 12 mesi in bottiglia,"Manto ambrato di grande luminosità. Profumi  di cedro, frutta candita e miele si innestano  sull'esplosione di zucchero caramellato,  zabaione, frutta secca e polvere di zenzero.  Entrata vellutata, con il ritorno immediato delle  suadenti note di pesche sciroppate. Sorso    da centellinare, di lunga persistenza e dalla  trionfale chiusura mielata.",,na,na,na,na,na,na,Italia,2,,,
,0000582,5,2004,Pisoni,Trentino Vino Santo,Trentino,Vino Santo,DOC,Trentino,30-34,92,92,Bianco passito,Nosiola 100%,12.5,3k,Crostata di noci e miele,Appassimento naturale sui graticci - 60 mesi in acciaio + 60 mesi in botti di acaia + 12 mesi in bottiglia,"Veste lucente e sontuosa, dal colore dell'oro  antico, con riflessi ambrati. Intenso e  composito, sprigiona sensazioni di mela  cotogna, miele, frutta secca, zenzero, cedro  candito, uva di Corinto e ceralacca. Si aprono  via via, senza fretta, tocchi di orzo tostato e  vaniglia, a completare un quadro ammirevole  per potenza. In bocca è vellutato, di sontuosa  densità; il tono dolce si placa grazie al nerbo  fresco che si sprigiona nel finale. Chiude con un  retrogusto di miele di castagno. ",,na,na,na,na,na,na,Italia,2,,,
,0000582,5,2006,Pisoni,Trentino Vino Santo,Trentino,Vino Santo,DOC,Trentino,35-39,91,91,Bianco passito,Nosiola 100%,12.5,3k,Torta della nonna,Appassimento naturale sui graticci - 60 mesi in acciaio + 60 mesi in botti di acaia + 12 mesi in bottiglia,"Manto sontuoso di colore oro antico dai  bagliori ambra. La tavolozza olfattiva è  intrigante e ricca di sfumature; si affacciano  prima profumi di agrumi, albicocca disidratata  e canditi, successivamente emergono sentori  di uva sultanina, datteri e pan di Spagna.  Chiude con una raffinata quanto invitante  scia balsamica. Al sorso è dolce e appagante,  sostenuto dall'inconfondibile nerbo fresco  della nosiola. Intenso e suadente gusto,    dal lunghissimo finale con ritorni di miele e  cedro. ",,na,na,na,na,na,na,Italia,2,,,
Bologna Wine Fair 2022,0000582,4,2007,Pisoni,Trentino Vino Santo,Trentino,Vino Santo,DOC,Trentino,40-44,89,89,Bianco passito,Nosiola 100%,12.5,5k,Pastiera napoletana,Appassimento naturale sui graticci - 60 mesi in acciaio + 60 mesi in botti di acaia + 12 mesi in bottiglia,"dorato | riflessi ambrati – albicocca - 80 | frutta candita - 80 | datteri - 60 | fichi - 60 | caramella di orzo - 50 | miele di castagno - 30 – il sorso, squisitamente dolce, è affiancato dalla proverbiale  acidità. Finale interminabile e sfaccettato",,na,na,na,na,na,na,Italia,2,,,
,0000582-1,4★-5★,,Pisoni,Trentino Vino Santo,Trentino,Vino Santo,DOC,Trentino,40-44,na,na,Bianco passito,Nosiola 100%,12.5,3k-4k,Crostata di cioccolato e scorzette di arancia – Crostata di noci e miele – Torta della nonna – Pastiera napoletana,Appassimento naturale sui graticci - 60 mesi in acciaio + 60 mesi in botti di acaia + 12 mesi in bottiglia,,,na,na,na,na,na,na,Italia,1,,,
